scenario,split_ratio,seed,model,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters
split_sensitivity,60/40,13,LR-Newton,7200,4800,0.8239583333333333,0.7224606580829757,0.43685121107266434,0.5444743935309972,0.6918065056461016,0.053558999963570386,2.4293594360351562,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,60/40,13,L2-LR,7200,4800,0.823125,0.7274074074074074,0.42474048442906576,0.5363189513926816,0.6871232608753453,0.7908464000211097,1.2540721893310547,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,60/40,13,LDA,7200,4800,0.8135416666666667,0.702954898911353,0.39100346020761245,0.5025013896609227,0.6692942657788885,0.007836700009647757,1.1852340698242188,{}
split_sensitivity,60/40,13,GNB,7200,4800,0.7897916666666667,0.634862385321101,0.29930795847750863,0.40681951793062904,0.6223488200730024,0.005401299975346774,1.0659866333007812,{}
split_sensitivity,60/40,42,LR-Newton,7200,4800,0.8302083333333333,0.7276368491321762,0.47145328719723184,0.5721784776902887,0.7077354251573426,0.08065519999945536,2.430999755859375,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,60/40,42,L2-LR,7200,4800,0.8270833333333333,0.7295774647887324,0.44809688581314877,0.5551982851018221,0.6977037667265524,0.4480809000087902,1.2551326751708984,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,60/40,42,LDA,7200,4800,0.8183333333333334,0.7057971014492753,0.421280276816609,0.5276273022751896,0.6827861318221354,0.006812700012233108,1.1852340698242188,{}
split_sensitivity,60/40,42,GNB,7200,4800,0.80625,0.7132075471698113,0.32698961937716264,0.4483985765124555,0.6426386077127306,0.015958100033458322,1.0659866333007812,{}
split_sensitivity,60/40,77,LR-Newton,7200,4800,0.8264583333333333,0.7185385656292287,0.4593425605536332,0.5604221635883905,0.7011312144151262,0.048660799977369606,2.430999755859375,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,60/40,77,L2-LR,7200,4800,0.8247916666666667,0.7240398293029872,0.4403114186851211,0.5476062399139322,0.69353660945233,0.714953200018499,1.2530288696289062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,60/40,77,LDA,7200,4800,0.8125,0.6887905604719764,0.4039792387543253,0.5092693565976009,0.6730379179501593,0.00855189998401329,1.1852340698242188,{}
split_sensitivity,60/40,77,GNB,7200,4800,0.790625,0.6345811051693404,0.3079584775086505,0.4146767617938264,0.6258508084579476,0.05939309997484088,1.0659866333007812,{}
split_sensitivity,60/40,123,LR-Newton,7200,4800,0.8364583333333333,0.751696065128901,0.47923875432525953,0.5853143159006867,0.7145096076785463,0.09033460001228377,2.430999755859375,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,60/40,123,L2-LR,7200,4800,0.8341666666666666,0.7542372881355932,0.4619377162629758,0.5729613733905579,0.707093995343343,1.4255183999775909,1.2542800903320312,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,60/40,123,LDA,7200,4800,0.8252083333333333,0.736214605067064,0.4273356401384083,0.5407772304324029,0.6893813217157464,0.003762999956961721,1.1852340698242188,{}
split_sensitivity,60/40,123,GNB,7200,4800,0.8020833333333334,0.6900369003690037,0.3235294117647059,0.44051825677267376,0.6387131142248338,0.017286600021179765,1.0659866333007812,{}
split_sensitivity,60/40,2026,LR-Newton,7200,4800,0.831875,0.7569955817378498,0.444636678200692,0.5602179836512261,0.6996783830081397,0.10254549997625872,2.430999755859375,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,60/40,2026,L2-LR,7200,4800,0.8272916666666666,0.7534883720930232,0.4204152249134948,0.5397001665741255,0.6883909274951667,0.9846637999871746,1.2551250457763672,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,60/40,2026,LDA,7200,4800,0.82,0.739344262295082,0.39013840830449825,0.5107587768969423,0.6732525191906684,0.0035319000016897917,1.1852340698242188,{}
split_sensitivity,60/40,2026,GNB,7200,4800,0.8020833333333334,0.7068273092369478,0.3044982698961938,0.42563482466747277,0.6322162041028718,0.046533600019756705,1.0659866333007812,{}
split_sensitivity,70/30,13,LR-Newton,8400,3600,0.8225,0.7209302325581395,0.4290657439446367,0.5379609544468547,0.6881881957922964,0.04900699999416247,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,70/30,13,L2-LR,8400,3600,0.8205555555555556,0.7214428857715431,0.41522491349480967,0.527086383601757,0.6821825262680781,0.688922300003469,1.4590435028076172,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,70/30,13,LDA,8400,3600,0.8133333333333334,0.7133479212253829,0.3760092272202999,0.4924471299093656,0.6640382762519356,0.006447299965657294,1.3818511962890625,{}
split_sensitivity,70/30,13,GNB,8400,3600,0.7930555555555555,0.6525,0.30103806228373703,0.4119968429360694,0.6250891006625418,0.07169980002800003,1.2327957153320312,{}
split_sensitivity,70/30,42,LR-Newton,8400,3600,0.8277777777777777,0.726605504587156,0.45674740484429066,0.5609065155807365,0.7011142805414281,0.11525120004080236,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,70/30,42,L2-LR,8400,3600,0.8241666666666667,0.7241379310344828,0.4359861591695502,0.5442764578833694,0.6916484034047532,1.3423699000268243,1.4595088958740234,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,70/30,42,LDA,8400,3600,0.8163888888888889,0.706,0.4071510957324106,0.5164594001463058,0.6766820242657663,0.0038661000435240567,1.3818511962890625,{}
split_sensitivity,70/30,42,GNB,8400,3600,0.7980555555555555,0.6767676767676768,0.3091118800461361,0.4243863816310372,0.6311384500852708,0.016249699983745813,1.2327957153320312,{}
split_sensitivity,70/30,77,LR-Newton,8400,3600,0.8219444444444445,0.703971119133574,0.44982698961937717,0.5489092188599578,0.6949098358268858,0.05201789998682216,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,70/30,77,L2-LR,8400,3600,0.8213888888888888,0.7145593869731801,0.4302191464821223,0.5370770338372931,0.687850151360344,0.6114286000374705,1.4590435028076172,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,70/30,77,LDA,8400,3600,0.81,0.6797642436149313,0.3990772779700115,0.502906976744186,0.6697179291423421,0.006865900009870529,1.3818511962890625,{}
split_sensitivity,70/30,77,GNB,8400,3600,0.7891666666666667,0.6291866028708134,0.3033448673587082,0.4093385214007782,0.6233153169578027,0.024309900007210672,1.2327957153320312,{}
split_sensitivity,70/30,123,LR-Newton,8400,3600,0.8341666666666666,0.7490774907749077,0.4682814302191465,0.5762952448545067,0.7092596320506637,0.1424805999849923,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,70/30,123,L2-LR,8400,3600,0.8311111111111111,0.7504835589941973,0.447520184544406,0.5606936416184971,0.7001596531942667,2.5293660999741405,1.4595165252685547,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,70/30,123,LDA,8400,3600,0.8233333333333334,0.7352342158859471,0.41637831603229525,0.5316642120765831,0.6844057697980723,0.008428500033915043,1.3818511962890625,{}
split_sensitivity,70/30,123,GNB,8400,3600,0.8025,0.6959798994974874,0.31949250288350634,0.4379446640316205,0.6376094054849292,0.008018199994694442,1.2327957153320312,{}
split_sensitivity,70/30,2026,LR-Newton,8400,3600,0.8338888888888889,0.7561904761904762,0.45790080738177624,0.5704022988505748,0.7055329137530908,0.09972940001171082,2.8246612548828125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,70/30,2026,L2-LR,8400,3600,0.8288888888888889,0.7525150905432596,0.43137254901960786,0.5483870967741936,0.6931835302727019,2.2369397999718785,1.4589977264404297,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,70/30,2026,LDA,8400,3600,0.8213888888888888,0.7413793103448276,0.39677047289504036,0.5169045830202855,0.6764313396308352,0.12745660002110526,1.3818511962890625,{}
split_sensitivity,70/30,2026,GNB,8400,3600,0.8016666666666666,0.6976744186046512,0.31141868512110726,0.430622009569378,0.6343042931642857,0.010832700005266815,1.2327957153320312,{}
split_sensitivity,80/20,13,LR-Newton,9600,2400,0.8195833333333333,0.699724517906336,0.43944636678200694,0.5398512221041445,0.6898109989782703,0.15656570001738146,3.2183380126953125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,80/20,13,L2-LR,9600,2400,0.8191666666666667,0.7057142857142857,0.4273356401384083,0.5323275862068966,0.6854021779177223,1.6562658000038937,1.6558818817138672,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,80/20,13,LDA,9600,2400,0.8120833333333334,0.6990595611285266,0.38581314878892736,0.49721293199554073,0.6665618982144417,0.00797089998377487,1.5784683227539062,{}
split_sensitivity,80/20,13,GNB,9600,2400,0.7879166666666667,0.6263736263736264,0.2958477508650519,0.4018801410105758,0.6199326569912527,0.022167100047226995,1.3996047973632812,{}
split_sensitivity,80/20,42,LR-Newton,9600,2400,0.8220833333333334,0.7091412742382271,0.4429065743944637,0.5452609158679446,0.6926387976253328,0.0579458000138402,3.2183380126953125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,80/20,42,L2-LR,9600,2400,0.8195833333333333,0.7101449275362319,0.42387543252595156,0.5308775731310943,0.6844953452421195,1.1722201999509707,1.6549062728881836,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,80/20,42,LDA,9600,2400,0.8133333333333334,0.698170731707317,0.3961937716262976,0.5055187637969095,0.6709289385025011,0.02408480003941804,1.5784683227539062,{}
split_sensitivity,80/20,42,GNB,9600,2400,0.79125,0.6452830188679245,0.2958477508650519,0.4056939501779359,0.6221280466729211,0.022925400000531226,1.3996047973632812,{}
split_sensitivity,80/20,77,LR-Newton,9600,2400,0.8216666666666667,0.711864406779661,0.4359861591695502,0.5407725321888412,0.6900018611435017,0.1570761000039056,3.2183380126953125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,80/20,77,L2-LR,9600,2400,0.82375,0.7286135693215339,0.4273356401384083,0.5387131952017448,0.6884208387300165,1.0756942000007257,1.6565990447998047,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
