model,n_epochs,best_loss,best_loss_epoch,epoch_to_best_1pct,test_f1,test_accuracy
LR-Newton,8,0.38873355145317334,8,4,0.5524337158686189,0.8263473053892215
L2-LR,300,0.393877835792414,300,207,0.5362903225806451,0.8234300629510211
LR-GD,300,0.39363620326438,300,208,0.5360741636436921,0.8232765238753262
L1-LR,300,0.3936363789429195,300,208,0.5360741636436921,0.8232765238753262
Probit,300,0.3951275810127438,300,215,0.5291005291005291,0.8223552894211577
