lambda,Accuracy,F1,Recall,Non-zero,Sparsity%
0.0,0.8235836020267158,0.5379975874547648,0.42665816326530615,12,0.0
0.0005,0.8235836020267158,0.5357575757575758,0.42283163265306123,12,0.0
0.001,0.8231229847996315,0.5339805825242717,0.42091836734693877,12,0.0
0.003,0.8238906801781053,0.5316455696202532,0.41517857142857145,12,0.0
0.005,0.8246583755565792,0.5304276315789473,0.41135204081632654,11,8.333333333333337
0.01,0.8209734377399048,0.5038297872340425,0.37755102040816324,10,16.666666666666664
0.02,0.8142177184093352,0.45347786811201446,0.3201530612244898,8,33.333333333333336
0.05,0.7813603562106556,0.1981981981981982,0.11224489795918367,8,33.333333333333336
0.1,0.7592507293106096,0.0,0.0,2,83.33333333333334
