lambda,age,education.num,hours.per.week,capital_net,capital.gain,capital.loss,fnlwgt,workclass,occupation,relationship,sex,race
0.0,0.49079687083216483,0.7955678364055829,0.38406656137342143,0.7106909144416272,0.7293487751727104,0.3033702944562744,0.04477958108598688,-0.09973007033257568,-0.03192060521947745,-0.27612228725243904,0.36211292961079306,0.1107383119600801
0.0005,0.48614804930610134,0.7903342790450362,0.3800025820821188,0.6975940493219784,0.7171524048763719,0.2996232452581096,0.040489433206857287,-0.09562983775062885,-0.027593967474977665,-0.2742500267095047,0.35820170450122973,0.106347456193998
0.001,0.4815376021630104,0.7851327454359368,0.37598003760532056,0.6846009163115442,0.7050618340910632,0.29590834203731425,0.03622012068131197,-0.09155705722584771,-0.02325148841896603,-0.27240998206750433,0.3543173292501485,0.10200906250704597
0.003,0.46355485619143216,0.7649625817896182,0.36033664596253695,0.6336576742576795,0.6577485174519754,0.28135220767028946,0.019398589201832038,-0.0755426355915448,-0.00631886151108787,-0.26535882986073406,0.33917465760603455,0.08516073360274636
0.005,0.44644505452497646,0.7468894677281951,0.34554327574336324,0.5843120704016121,0.6120593155026864,0.26719192544868364,0.003121104802105056,-0.059952827663513945,-0.0,-0.2589469002043154,0.3250247074592406,0.06905343226278358
0.01,0.4091240100912158,0.7067796296391504,0.31238155646488214,0.4675100110838068,0.5045166709245094,0.23359586952875208,0.0,-0.02179258294672109,-0.0,-0.24466932539896932,0.29119296921381904,0.03295119822652246
0.02,0.34626647364546803,0.638407809459914,0.25688368480759466,0.26095603826599856,0.3168308821812933,0.17127592527761515,0.0,-0.0,-0.0,-0.2200928537319738,0.23439570635253626,0.0
0.05,0.19229290162943685,0.47453178279255526,0.1274784367257833,0.0011923306306643568,0.11706304776517985,0.025889268643799195,0.0,-0.0,0.0,-0.1636016610746951,0.09932734790273086,0.0
0.1,0.0,0.23012207406147908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.03280467637538271,0.0,0.0
