Hạng,Đặc trưng,Tỷ số Fisher
1,education.num,0.12331442377682489
2,relationship,0.07107044586706711
3,age,0.05618500647578196
4,hours.per.week,0.055764933259562034
5,capital.gain,0.052972821741849835
6,sex,0.04997645482759331
7,capital_net,0.04850149151266602
8,capital.loss,0.025561730416706164
9,race,0.005421695047216644
10,occupation,0.0011244442850747076
11,fnlwgt,0.00011758225933269329
12,workclass,1.1462890009991403e-05
